priority,detection_specification,primary_attack_model,financial_assets,required_telemetry,profiles_or_cases_covered,validation_status
1,"Identity reset followed by SaaS exfiltration","Help-desk social engineering; account recovery abuse; valid accounts","Cloud identity; SaaS; privileged access; customer and finance data","Help-desk; IdP; MFA; SSO; SaaS audit; DLP; device telemetry","Scattered Spider / UNC3944; DPRK developer and IT-worker activity; valid-account abuse","Specification complete; laboratory validation pending"
2,"Device-code OAuth token abuse","PhaaS; user-authorised device code; access and refresh token use","Microsoft 365 email; Teams; SharePoint; OneDrive; finance and executive data","Entra sign-in; device code; token issuance; M365 unified audit; mailbox and file access","Kali365 2026; cloud token phishing; BEC enablement","Specification complete; laboratory M365 or synthetic-log validation pending"
3,"Public application exploitation followed by web shell","Internet-facing vulnerability exploitation; persistence; data theft","MFT; ERP; customer portals; edge devices; databases; cloud storage","Asset inventory; vulnerability data; WAF; application; file integrity; EDR; database; cloud audit","CL0P / FIN11; APT41; MOVEit; Oracle EBS","Specification complete; laboratory validation pending"
4,"Suspicious support-agent customer-data access","Insider or contractor access abuse; customer-data collection; informed social engineering","Customer identity; KYC; support history; fraud and transaction metadata","Support application; ticketing; IdP; endpoint; DLP; contractor and customer-fraud data","Coinbase 2025 support-insider case; outsourced support risk","Specification complete; role baseline and privacy review pending"
5,"Payment-detail change and BEC correlation","Mailbox compromise or impersonation followed by payment diversion","Supplier payments; treasury; payroll; refunds; virtual-asset transfers","Email; mailbox identity; forwarding rules; supplier master; beneficiary and payment events","BEC; phishing; valid-account abuse; supplier impersonation","Specification complete; payment-workflow validation pending"
6,"Voice or video impersonation followed by high-risk payment","AI-assisted or conventional impersonation; caller ID spoofing; urgent payment request","Treasury; supplier payments; customer accounts; virtual assets","Call and meeting records; trusted contacts; payment and beneficiary data; identity telemetry","AI-enabled fraud; executive impersonation; customer-support scams","Specification complete; authorised tabletop or simulation pending"
7,"Developer compromise leading to transaction manipulation","Recruiter impersonation; ClickFix or malicious code; cloud/session theft; transaction manipulation","Wallet infrastructure; CI/CD; cloud keys; approval systems","EDR; repository; container; cloud audit; secret access; transaction approval","DMM Bitcoin 2024; UNC4899; UNC1069; DPRK financial theft","Specification complete; isolated developer lab pending"
8,"Malicious redirect chain and financial brand impersonation","TDS; search poisoning; malicious advertising; phishing redirect; brand impersonation","Employee and customer credentials; banking and crypto accounts; endpoints","Proxy; DNS; browser; email URLs; redirects; certificates; endpoint and account-risk telemetry","FBI TDS 2026; phishing; customer fraud and brand abuse","Specification complete; authorised redirect-chain lab pending"
9,"Bulk data collection followed by cloud exfiltration","Data discovery, archive creation and transfer through legitimate cloud services","Customer, payroll, supplier and strategic records","Endpoint; SaaS; proxy; CASB; DLP; cloud storage","APT41 DUST; UNC3944; CL0P-related data theft","Specification complete; cross-platform validation pending"
10,"Virtualisation and recovery-control compromise","Privileged identity abuse; hypervisor takeover; recovery impairment","Virtual machines; identity; backups; security management; disaster recovery","Hypervisor; IdP; PAM; backup; ISO mount; VM and security-control telemetry","Scattered Spider / UNC3944; ransomware and extortion resilience","Specification complete; isolated virtualisation lab pending"
11,"Payment-system reconnaissance and operator imitation","Screen recording; workflow learning; valid-account fraud","ATM; card processing; SWIFT; core payment operations","EDR; screen capture; authentication; payment application; fraud and AML","Silence; Cobalt Group; Carbanak-associated activity","Specification complete; payment simulator or non-production test pending"
12,"DDoS traffic correlated with service degradation","Volumetric, protocol or application-layer denial of service","Online banking; payment APIs; trading; authentication; DNS; customer portals","CDN; scrubbing; network; WAF; load balancer; application health; transaction success","Hacktivist and criminal DDoS; operational resilience","Specification complete; provider-coordinated load test pending"
