context_id,topic,event_or_activity,observed_fact,source_assessment,my_assessment,confidence,alternative_explanation,decision_relevance,source
OPS-SC-001,"Support insider and customer fraud","Coinbase 2025 support-agent incident","Coinbase reported that criminals bribed and recruited rogue overseas support agents who abused customer-support access and stole data","Coinbase stated that the data was used to facilitate social-engineering attacks and that the company received a USD 20 million extortion demand","Legitimate support access can be converted into criminal intelligence that increases the success of customer fraud without directly exposing private keys or passwords","High for company-reported facts; moderate for the full criminal structure","Different insiders may have had different knowledge or intent and public reporting may not describe all access paths","SOC, fraud, insider-risk, HR, procurement, legal and customer-support teams need a shared investigation model","Coinbase — Protecting Our Customers: Standing Up to Extortionists"
OPS-SC-002,"Business email compromise","BEC payment diversion","FBI IC3 reported global BEC exposure exceeding USD 55 billion and continued use of banks, payment processors and cryptocurrency services","FBI describes BEC as compromise or impersonation of trusted business identities used to cause unauthorised transfers","The decisive control point is often the payment or supplier-change workflow rather than the email filter alone","High for the scale and fraud model","Complaint data may underreport or inconsistently classify incidents and not every loss involves mailbox compromise","Email, identity, supplier-master and payment data must be correlated and recall action must begin quickly","FBI IC3 — Business Email Compromise: The USD 55 Billion Scam"
OPS-SC-003,"Financial-sector DDoS","DDoS targeting in 2024","FS-ISAC and Akamai reported finance as the top target for volumetric DDoS attacks and described a multi-bank attack with multi-day outages","The report assessed that DDoS had evolved from nuisance activity into a strategic operational threat","Financial institutions should detect material service degradation and customer impact rather than alerting only on traffic volume","High for sector reporting; moderate when generalising to every organisation","High traffic may reflect legitimate demand and some attacks may produce little disruption","DDoS monitoring must connect network telemetry to customer transactions, service levels, provider dependencies and DORA resilience processes","FS-ISAC and Akamai — From Nuisance to Strategic Threat"
OPS-SC-004,"DORA third-party concentration","Critical ICT provider designation","The European Supervisory Authorities designated critical ICT third-party providers in November 2025","The designation process considered systemic importance, support for critical financial functions and service substitutability","Supplier concentration is now an active supervisory concern as well as a technical threat-model issue","High for the regulatory action","Designation does not mean that a provider is insecure or that all clients face identical risk","Financial entities need dependency registers, contractual evidence, exit strategies and incident coordination for critical providers","European Banking Authority — DORA critical ICT third-party provider designation"
OPS-SC-005,"Modern CTI operations","Threat intelligence to detection workflow","Current standards and tools support structured CTI, automated exchange, behaviour mapping and portable detection formats","OASIS, MITRE, MISP and Sigma provide complementary models for representing intelligence and translating it into defensive operations","The value of CTI is measured by validated searches, detections and decisions rather than the volume of received indicators","High","Tools may be deployed poorly and automation may amplify low-quality intelligence","Every shared indicator requires context, confidence, lifecycle and testing before automated enforcement","OASIS STIX/TAXII; MITRE ATT&CK; MISP; SigmaHQ"
OPS-SC-006,"Microsoft 365 token phishing","Kali365 device-code authorisation abuse","The FBI reported that Kali365 lures users into entering attacker-supplied device codes on the legitimate Microsoft page and captures access and refresh tokens","The FBI assessed that the platform lowers the barrier for less-technical attackers through AI lures, templates, target tracking and token capture","A legitimate login page can become part of a phishing chain when the user authorises the attacker's device; password reset alone may not end the incident","High for the FBI-reported mechanics; moderate for sector-specific victim prevalence","Some device code events are legitimate and the public alert does not describe every victim","Financial SOCs need device-code, token, mailbox and SaaS activity rather than relying only on URL reputation and password reset","FBI IC3 — Kali365 Phishing-as-a-Service Kit Hijacks Microsoft 365 Access Tokens"
OPS-SC-007,"Cryptocurrency social engineering","UNC1069 fake meeting and ClickFix intrusion","Mandiant reported a compromised Telegram account, fake Zoom meeting, ClickFix instruction and reported AI-generated video in an intrusion against a cryptocurrency-sector fintech entity","Mandiant attributed the activity to UNC1069 and described seven malware families in the compromised environment","The attacker combined real-account trust, video interaction and user-executed commands to overcome individual suspicion signals","High for the source-reported intrusion; moderate for one unified operator structure","Different operators may share tooling and the exact role of the AI-generated video may vary","Fintech organisations must monitor messaging, developer endpoints and meeting-based social engineering in addition to email attachments","Mandiant — UNC1069 Targets Cryptocurrency Sector with New Tooling and AI-Enabled Social Engineering"
OPS-SC-008,"Open-source supply chain","UNC1069 Axios package compromise","GTIG reported that an axios maintainer account was compromised and malicious releases introduced plain-crypto-js to deploy WAVESHAPER.V2 on multiple operating systems","GTIG attributed the campaign to UNC1069 based on malware evolution and infrastructure overlaps","A single maintainer-account compromise can place developer credentials, CI/CD systems and downstream financial applications at risk at scale","High for the published campaign; moderate when estimating every downstream impact","Not every installation contained valuable secrets and some affected systems may have been isolated","Financial firms need dependency inventories, build provenance, maintainer security and developer EDR as part of transaction-system security","GTIG — North Korea-Nexus Threat Actor Compromises Widely Used Axios NPM Package"
OPS-SC-009,"Malicious traffic distribution systems","Selective delivery of financial phishing and malware","The FBI reported that TDS infrastructure can profile visitors and show safe content to non-targets while redirecting selected victims to financial phishing or malware","The FBI assessed that TDS use supports scams, ransomware access and evasion of security research","A single sandbox result may not reproduce the victim experience; redirect chain and victim context are evidence","High for the FBI warning; moderate for prevalence of specific targeting rules","Content variation may also result from legitimate geolocation or marketing systems","SOC, fraud and brand-protection teams need full URL-chain collection and post-click account monitoring","FBI IC3 — Cyber Criminals Redirecting Users to Fraudulent Websites with Malicious Traffic Distribution Systems"
OPS-SC-010,"Exploitation before patch","Negative time-to-exploit and AI-assisted vulnerability research","Mandiant reported a mean time-to-exploit of negative seven days and GTIG reported an AI-assisted zero-day exploit assessment","The publishers assessed that exploit development and attacker workflows are accelerating","Financial institutions must assume that public-facing applications may be compromised before a CVE, patch or IOC exists","High for the stated reporting; moderate when generalising the pace to every product","The observed mean reflects Mandiant's case set and not all vulnerabilities are actively targeted","Inventory, segmentation, compensating controls, application logging and retrospective hunting are as important as patch speed","Mandiant and GTIG — 2026 AI and vulnerability research"
