claim_id,topic,claim,source_title,publisher,publication_date,access_date,source_type,url,confidence,notes
OPS-001,"Business email compromise","FBI IC3 reported approximately USD 55.5 billion in exposed BEC losses between October 2013 and December 2023 and described continued use of payment processors and cryptocurrency services","Business Email Compromise: The $55 Billion Scam","FBI IC3",2024-09-11,2026-07-29,"Government fraud advisory",https://www.ic3.gov/PSA/2024/PSA240911,High,"Global exposed-loss figure; not limited to financial-sector victims"
OPS-002,"Support insider and extortion","Coinbase reported that criminals bribed and recruited rogue overseas support agents who abused access to customer-support systems and stole data used for later social engineering","Protecting Our Customers - Standing Up to Extortionists","Coinbase",2025-05-15,2026-07-29,"Company incident disclosure",https://www.coinbase.com/en-br/blog/protecting-our-customers-standing-up-to-extortionists,High,"Company-provided facts; full criminal structure and all affected individuals are not public"
OPS-003,"Financial-sector DDoS","FS-ISAC and Akamai reported that financial services were the top target for volumetric DDoS attacks in 2024 and described increasingly precise attacks","From Nuisance to Strategic Threat: DDoS Attacks Against the Financial Sector","FS-ISAC and Akamai",2025-06-10,2026-07-29,"Financial-sector and provider research",https://www.fsisac.com/ddos-akamai-2025,High,"Supports availability and operational-resilience analysis"
OPS-004,"EU threat landscape","ENISA reported that DDoS represented 77 percent of recorded incidents in its 2025 EU threat landscape and that finance represented 4.5 percent of targeted sectors","EU consistently targeted by diverse yet convergent threat groups","ENISA",2025-10-01,2026-07-29,"EU threat landscape",https://www.enisa.europa.eu/news/etl-2025-eu-consistently-targeted-by-diverse-yet-convergent-threat-groups,High,"High incident volume did not always produce high disruption; useful for separating frequency from impact"
OPS-005,"Financial-sector threat priorities","FS-ISAC identified fraud and scams using generative AI, supplier attacks, geopolitical uncertainty, DDoS and ransomware as key risks in its 2025 review","Heightened Cyber Threats are Testing the Operational Resilience of the Financial Sector","FS-ISAC",2025-05-19,2026-07-29,"Financial-sector intelligence report",https://www.fsisac.com/newsroom/heightened-cyber-threats-are-testing-the-operational-resilience-of-the-financial-sector,High,"Report draws on member institutions across 75 countries"
OPS-006,"DORA application","The EU Digital Operational Resilience Act has applied since 17 January 2025","Regulation (EU) 2022/2554 summary","EUR-Lex",,2026-07-29,"EU legal source",https://eur-lex.europa.eu/legal-content/EN/LSU/?uri=CELEX%3A32022R2554,High,"Used for operational alignment; project does not claim legal compliance"
OPS-007,"DORA third-party oversight","The European Supervisory Authorities designated critical ICT third-party providers in November 2025 using systemic importance, critical-function support and substitutability criteria","The European Supervisory Authorities designate critical ICT third-party providers under DORA","European Banking Authority",2025-11-18,2026-07-29,"EU supervisory announcement",https://www.eba.europa.eu/publications-and-media/press-releases/european-supervisory-authorities-designate-critical-ict-third-party-providers-under-digital,High,"Supports current supplier-concentration and supervisory context"
OPS-008,"Cloud identity","CISA described advanced threats to cloud identity involving token authentication, key management, logging, third-party dependencies and governance","Securing Core Cloud Identity Infrastructure","CISA",2025-07-15,2026-07-29,"Government security guidance",https://www.cisa.gov/news-events/news/securing-core-cloud-identity-infrastructure-addressing-advanced-threats-through-public-private,High,"Supports identity and token detection priorities"
OPS-009,"ATT&CK update","MITRE ATT&CK v19 split the former Enterprise Defense Evasion tactic into Stealth and Defense Impairment","ATT&CK Updates - April 2026","MITRE ATT&CK",2026-04-28,2026-07-29,"Authoritative knowledge-base update",https://attack.mitre.org/resources/updates/,High,"Current ATT&CK version at access date"
OPS-010,"RDAP","ICANN made RDAP the definitive source for gTLD registration data from 28 January 2025 in place of sunsetted WHOIS services","ICANN Update: Launching RDAP; Sunsetting WHOIS","ICANN",2025-01-27,2026-07-29,"Authoritative internet-governance announcement",https://www.icann.org/en/announcements/details/icann-update-launching-rdap-sunsetting-whois-27-01-2025-en,High,"WHOIS may remain visible in tools but RDAP is the current standard for gTLD data"
