attack_model,entry_point,trust_abused,financial_objective_or_impact,representative_cases,highest_value_evidence,current_relevance
"Direct virtual-asset theft","Developer; wallet; cloud; transaction system","Transaction approval and signing infrastructure","Cryptocurrency theft and laundering","DMM Bitcoin; Bybit; UNC4899","Developer endpoint; cloud; wallet; transaction; blockchain data","Very high"
"Identity-recovery takeover","Help desk; password reset; MFA recovery","Employee identity and SSO","SaaS and cloud takeover; customer-data theft; extortion","Scattered Spider / UNC3944","Ticket; call; MFA; token; role; SaaS audit","Very high"
"Device-code token phishing","Phishing message; legitimate verification page","User authorisation and OAuth tokens","Email and file access; BEC enablement; data theft","Kali365 2026","Device-code sign-in; token issuance; Microsoft 365 audit","Very high"
"Public-application mass exploitation","Internet-facing MFT; ERP; VPN; edge product","Trusted enterprise application","Data theft; extortion; persistence; downstream exposure","MOVEit; Oracle EBS; APT41","WAF; application; file integrity; EDR; database; cloud audit","Very high"
"Open-source software supply-chain compromise","Maintainer or package-publishing account","Trusted package and build process","Developer and CI/CD compromise; downstream application exposure","Axios / UNC1069","Repository; package; lockfile; pipeline; provenance; developer EDR","Very high"
"Support-insider access abuse","Employee or outsourced support access","Legitimate customer-service permission","Customer-data collection; informed social engineering; fraud; extortion","Coinbase 2025","Case assignment; record access; DLP; endpoint; fraud reports","High"
"Business email compromise","Spoofed or compromised mailbox","Supplier; executive or existing conversation","Authorised payment diversion","FBI BEC model","Full email; mailbox identity; supplier master; beneficiary; payment events","Very high"
"AI-assisted voice or video fraud","Phone; meeting; synthetic identity","Voice; image; caller ID and executive authority","Payment; account recovery; onboarding fraud","FBI AI warning; Europol caller-ID reporting","Call; meeting; trusted contact; identity; transaction evidence","High"
"Payment-operator imitation","Phishing; remote access; process reconnaissance","Legitimate operator workflow","Fraudulent transfers; ATM cash-out; balance manipulation","Cobalt Group; Silence","Endpoint; session recording; payment; ATM; SWIFT; fraud; AML","Historically high; currently transferable"
"Cloud-to-cloud data theft","Valid identity; token; SaaS integration","Approved cloud applications and encrypted traffic","Extortion; customer harm; strategic collection","UNC3944; APT41 DUST","SaaS API; object access; sync; DLP; identity; data classification","Very high"
"Malicious redirect and brand impersonation","Email; search result; advertisement; compromised website","Brand recognition and selective redirection","Credential theft; customer fraud; malware delivery","FBI TDS 2026","Original URL; redirect chain; browser; DNS; proxy; account activity","High"
"DDoS and service disruption","Internet-facing service or supplier","Dependence on continuous availability","Payment; authentication; trading and customer-service interruption","FS-ISAC and Akamai sector reporting","Traffic; service health; transaction success; provider telemetry","High"
"Strategic espionage","Public application; supply chain; valid account","Trusted access to business and partner information","Economic; diplomatic or surveillance intelligence","APT41","Victimology; timing; data accessed; procedures; strategic context","Moderate for direct theft; high for strategic risk"
