domain,minimum_events,primary_questions,financial_use_cases,retention_note,owner_examples
"Identity and account recovery","Password resets; unlocks; MFA factor changes; device registration; role changes; token issuance; session revocation","Who changed the account; which factor or device appeared; what was accessed afterwards","Help-desk compromise; token phishing; valid accounts; BEC","Retain long enough to investigate activity preceding data theft or payment changes","Identity team; SOC; service desk"
"Help desk and support","Tickets; call records; verification method; override actions; customer record views; operator and supplier identity","Was the caller verified; did access match a valid case; did an operator exceed normal scope","Scattered Spider; support-insider fraud; customer impersonation","Retention must support insider and customer-fraud investigations and comply with privacy law","Service desk; customer support; insider risk; legal"
"Email and collaboration","Full headers; gateway verdicts; mailbox sign-ins; forwarding rules; delegation; OAuth grants; mail and file access","Was a sender spoofed or mailbox compromised; were finance conversations read; did token access occur","BEC; Kali365; internal phishing; SaaS theft","Cloud audit defaults may be shorter than the incident-discovery period","Messaging team; SOC; fraud"
"Endpoint and developer","Process and command line; script interpreters; package installs; containers; file and credential access; DNS and network","What code ran; did a package spawn a shell; were secrets accessed","UNC1069; UNC4899; DMM Bitcoin; malicious attachments; ClickFix","Developer and macOS/Linux telemetry should be retained alongside Windows data","Endpoint team; development security; SOC"
"Source control and CI/CD","Repository logins; token creation; permission changes; dependency and lockfile changes; pipeline jobs; artifact hashes; package publishing","Who changed the dependency; which build and customers received it","Axios supply chain; APT41 supply chain; transaction software compromise","Preserve build provenance and package metadata across release lifecycles","DevSecOps; engineering; software supply-chain security"
"Cloud and SaaS","Control-plane API calls; object access; application grants; service principals; storage sharing; sync jobs; cloud network and bastion access","Did a new identity assign access; was data moved cloud-to-cloud; were transaction systems reached","Scattered Spider; APT41 DUST; DPRK cloud theft; token phishing","Retain control-plane and data-plane logs; both may be required","Cloud security; SaaS owners; SOC"
"Internet-facing applications","Asset/version inventory; WAF; reverse proxy; application and database logs; file integrity; application accounts; outbound traffic","Which request preceded file creation; did the web process launch a shell; what data was exported","MOVEit; Oracle EBS; APT41; zero-day exploitation","Keep history predating patch or extortion contact","Application owners; vulnerability management; SOC"
"Payment fraud and transactions","Beneficiary changes; supplier master; payment approvals; transaction amount/country/destination; recall and freeze actions; wallet addresses","Did a suspicious email or identity event precede payment; where did funds move","BEC; DPRK theft; Cobalt; Silence; customer fraud","Financial and cyber timelines must be correlatable","Fraud; payments; treasury; AML; SOC"
"Virtualisation and recovery","Hypervisor logins; role changes; ISO mounts; VM shutdown/export/deletion; backup policy and deletion; recovery tests","Did a newly changed admin affect many systems; can recovery still be trusted","Scattered Spider; ransomware; destructive attacks","Retain management-plane logs outside the environment they protect","Infrastructure; backup; resilience; SOC"
"Network DNS and availability","Flow; bandwidth; requests; CDN/WAF/scrubbing; DNS health; load balancer; application latency/errors; transaction success","Is traffic malicious; which service failed; what customer impact occurred","DDoS; malicious redirects; C2; exfiltration","Store summary and incident packet or request evidence proportionately","Network; SRE; SOC; business continuity"
"Supplier and third party","Service inventory; data and access scope; supplier contacts; subcontractors; notifications; audit evidence; exit plans","Which service depends on the supplier; what evidence can it provide; can it be replaced","MOVEit; Oracle EBS; DMM supplier; Coinbase support; DORA","Contractual evidence and dependency history may need multi-year retention","Procurement; third-party risk; legal; business owner; SOC"
