context_id,actor,event_or_activity,observed_fact,source_assessment,my_assessment,confidence,alternative_explanation,decision_relevance,source
APT41-SC-001,APT41,"Hotel reservation system targeting before an official visit","APT41 targeted a hotel's reservation systems before Chinese officials were expected to stay there","Mandiant assessed that the activity suggested reconnaissance of the facility for security reasons","The timing and victim system indicate that travel data may have supported physical-security or surveillance requirements connected to the delegation","Moderate","The intrusion could have supported broader intelligence collection unrelated to the specific visit","Shows why travel, hospitality and partner systems may hold strategic information beyond their direct business purpose","Mandiant — APT41: A Dual Espionage and Cyber Crime Operation"
APT41-SC-002,APT41,"Telecommunications call-record targeting","APT41 repeatedly targeted call-record information held by telecommunications companies","Mandiant connected this and other victimology to tracking individuals and surveillance","Telecommunications metadata can support relationship mapping and monitoring of people of interest","Moderate to high","The records could also support technical reconnaissance or other intelligence requirements","Financial institutions should treat communications metadata and privileged identity records as strategic intelligence targets, not only privacy data","Mandiant — APT41: A Dual Espionage and Cyber Crime Operation"
APT41-SC-003,APT41,"Parallel espionage and gaming-sector cybercrime","The cluster used non-public malware and overlapping capabilities during state-aligned espionage and financially motivated gaming operations","Mandiant assessed that some operators may have conducted private financial activity outside normal work and may have had contractor-like relationships","APT41 may represent a mixed-mission ecosystem where state access, contractor expertise and private cybercrime overlap","Moderate","Separate subgroups may have shared tools without sharing one command structure or sponsor","Analysts should not assume one motive across every incident and should assess campaign-specific objectives","Mandiant — APT41: A Dual Espionage and Cyber Crime Operation"
APT41-SC-004,APT41,"Public criminal allegations involving Chengdu 404","The U.S. Department of Justice charged Jiang Lizhi, Qian Chuan and Fu Qiang and alleged intrusions conducted through Chengdu 404 Network Technology","The DOJ presented a public legal connection among alleged cyber operators, a PRC company and global intrusion activity","The case demonstrates how contractor or corporate structures may sit between individual operators and wider state-linked cyber ecosystems","Moderate","Charges are allegations and do not establish that every APT41 operation used the same company or personnel","Requires careful legal wording and prevents unsupported conflation of intelligence personas with charged individuals","U.S. Department of Justice — Seven International Cyber Defendants, Including APT41 Actors, Charged"
DPRK-SC-001,TraderTraitor,"Compromise of a wallet-software provider before the DMM Bitcoin theft","A fake LinkedIn recruiter sent malicious Python code to a Ginco employee with wallet-management access; stolen session information was later used before a DMM transaction request was manipulated","The FBI and partner agencies attributed the operation to North Korean TraderTraitor activity","The attackers selected a trusted third-party employee because the employee's normal access influenced another organisation's financial transaction chain","High","The public announcement does not disclose every technical step and uses likely for transaction manipulation","Financial institutions must secure suppliers, developers, communications and approval chains rather than only the final wallet or exchange","FBI, DC3 and Japan NPA — TraderTraitor Responsible for DMM Bitcoin Theft"
DPRK-SC-002,TraderTraitor,"Rapid laundering after the Bybit theft","The FBI reported that stolen assets were converted and distributed across thousands of addresses on multiple blockchains","The FBI attributed the theft to North Korea and expected further laundering and conversion to fiat currency","The operational objective extended from gaining assets to obscuring ownership and accessing usable funds through the wider virtual-asset ecosystem","High for the reported movement; moderate for final conversion outcome","Some addresses may receive funds through intermediary services without direct knowledge of the theft","Cyber response must connect with fraud, AML, sanctions, blockchain intelligence and external virtual-asset providers","FBI — North Korea Responsible for $1.5 Billion Bybit Hack"
DPRK-SC-003,"DPRK state revenue ecosystem","Treasury reported cyber theft, laundering and fraudulent IT work and identified bankers, financial institutions, shell companies and facilitators involved in moving funds","Treasury assessed that these revenue streams support DPRK WMD and ballistic-missile programmes","DPRK financial cyber activity is best understood as an ecosystem linking intrusion operators to laundering, banking, proxy and front-company infrastructure","Moderate to high","The exact destination of proceeds from an individual theft is not publicly auditable in most cases","Leadership should treat major thefts as sanctions, geopolitical and national-security risks as well as cyber incidents","U.S. Treasury — Sanctions DPRK Bankers and Institutions Involved in Laundering Cybercrime Proceeds and IT Worker Funds"
DPRK-SC-004,"DPRK IT workers","Google Threat Intelligence reported expansion into Europe, multiple fabricated personas, facilitators, blockchain work, extortion and use of BYOD or virtualised environments","GTIG assessed that pressure and improved awareness in the United States contributed to global expansion and more aggressive revenue-maintenance tactics","The threat can enter through recruitment and contracting with legitimate access, making it an insider-risk and supplier-governance problem rather than only an external intrusion problem","Moderate to high","Not every identity or remote-work anomaly is state-linked; benign contractors may share individual indicators","SOC, HR, procurement, legal, insider-risk and finance teams require a joint detection and response process","Google Threat Intelligence — DPRK IT Workers Expanding in Scope and Scale"
UNC3944-SC-001,"Scattered Spider / UNC3944","Sector-focused targeting of financial services in late 2023","Mandiant observed UNC3944 conducting waves of activity against particular sectors including financial services","Mandiant assessed that large enterprises with high-value data, substantial help desks and outsourced IT functions are attractive targets","The actor appears to prioritise organisations where social engineering can unlock broad identity access and where extortion can create high financial or operational pressure","Moderate to high","Access availability, individual operator preference or publicity may explain some victim selection rather than a fixed sector strategy","Financial firms should assess help-desk and BPO exposure as part of threat modelling, not only internet-facing systems","Mandiant — Defending Against UNC3944"
UNC3944-SC-002,"Scattered Spider / UNC3944","Targeting of prominent brands and brazen victim communications","Mandiant reported that the group sometimes targeted prominent brands and used threatening communications","Mandiant assessed that prestige and media attention may influence some targeting","Financial gain may be reinforced by criminal reputation, status and the pressure created by public disruption","Moderate","Prominent firms may simply offer more data and greater ability to pay without prestige being a primary motive","Leadership should expect publicity, employee intimidation and reputational pressure during incident response","Mandiant — Defending Against UNC3944"
